            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.850694444, A.D. 2025-Jan-01 08:25:00.0000,  1.797725599079725E+05, -2.948723474503527E+05, -1.598879650489071E+05,  8.960106319828425E-01,  4.600986518382472E-01,  2.485345884067736E-01,
2460676.854166667, A.D. 2025-Jan-01 08:30:00.0000,  1.800413038884710E+05, -2.947342220146437E+05, -1.598133525045554E+05,  8.956157998976654E-01,  4.607375455494631E-01,  2.488823519257465E-01,
2460676.857638889, A.D. 2025-Jan-01 08:35:00.0000,  1.803099293250539E+05, -2.945959049474515E+05, -1.597386356509723E+05,  8.952203392403473E-01,  4.613761949764448E-01,  2.492299832379159E-01,
2460676.861111111, A.D. 2025-Jan-01 08:40:00.0000,  1.805784360291749E+05, -2.944573963221356E+05, -1.596638145278603E+05,  8.948242501803829E-01,  4.620145996253474E-01,  2.495774820739854E-01,
2460676.864583333, A.D. 2025-Jan-01 08:45:00.0000,  1.808468238123388E+05, -2.943186962122035E+05, -1.595888891750025E+05,  8.944275328878336E-01,  4.626527590023776E-01,  2.499248481646866E-01,
2460676.868055556, A.D. 2025-Jan-01 08:50:00.0000,  1.811150924861015E+05, -2.941798046913107E+05, -1.595138596322629E+05,  8.940301875333271E-01,  4.632906726137948E-01,  2.502720812407791E-01,
2460676.871527778, A.D. 2025-Jan-01 08:55:00.0000,  1.813832418620698E+05, -2.940407218332611E+05, -1.594387259395864E+05,  8.936322142880587E-01,  4.639283399659122E-01,  2.506191810330515E-01,
2460676.875000000, A.D. 2025-Jan-01 09:00:00.0000,  1.816512717519024E+05, -2.939014477120065E+05, -1.593634881369984E+05,  8.932336133237906E-01,  4.645657605650963E-01,  2.509661472723211E-01,
2460676.878472222, A.D. 2025-Jan-01 09:05:00.0000,  1.819191819673094E+05, -2.937619824016467E+05, -1.592881462646052E+05,  8.928343848128518E-01,  4.652029339177684E-01,  2.513129796894342E-01,
2460676.881944444, A.D. 2025-Jan-01 09:10:00.0000,  1.821869723200527E+05, -2.936223259764299E+05, -1.592127003625938E+05,  8.924345289281382E-01,  4.658398595304045E-01,  2.516596780152671E-01,
2460676.885416667, A.D. 2025-Jan-01 09:15:00.0000,  1.824546426219462E+05, -2.934824785107519E+05, -1.591371504712321E+05,  8.920340458431133E-01,  4.664765369095368E-01,  2.520062419807256E-01,
2460676.888888889, A.D. 2025-Jan-01 09:20:00.0000,  1.827221926848559E+05, -2.933424400791568E+05, -1.590614966308684E+05,  8.916329357318074E-01,  4.671129655617527E-01,  2.523526713167457E-01,
