index,rho,phi,left,right,mean,flags,left_cell,right_cell
41675,2.0704473392106593,3.3056358759513156,0,0,0,0,4294967295,4294967295
41676,1.7578382468782365,1.519219253237043,0,0,0,0,4294967295,4294967295
41677,0.33570030378177762,2.8959178343731713,0,0,0,0,4294967295,4294967295
41678,3.58536226907745,1.491831990207608,0,0,0,0,4294967295,4294967295
41679,3.4702249704860151,5.465650652528284,0.97680097818374634,0.87912088632583618,0.92796093225479126,7,114617,114246
41680,2.9553166856057942,5.6736622544635864,0.89963370561599731,0.74041515588760376,0.82002443075180054,7,97227,96820
41681,3.6561026568524539,4.9514361414070303,0,0,0,0,4294967295,4294967295
41682,3.0708545469678938,1.9320756783414583,0,0,0,0,4294967295,4294967295
41683,0.23230130737647414,3.6464416706920577,0,0,0,0,4294967295,4294967295
41684,3.4732914906926453,4.5050022514721428,0,0,0,0,4294967295,4294967295
41685,0.51438994286581874,4.5425711215092344,0,0,0,0,4294967295,4294967295
41686,1.7833416196517646,3.501451464868008,0,0,0,0,4294967295,4294967295
41687,3.9635911122895777,2.6538019210678376,0,0,0,0,4294967295,4294967295
41688,0.089851756114512682,3.1470732033395459,0,0,0,0,4294967295,4294967295
41689,1.9522839146666229,0.30051569885081314,0.44810745120048523,0.78559219837188721,0.61684983968734741,7,64030,64481
41690,0.77892456436529756,5.5999658602786733,0.44810745120048523,0.30940172076225281,0.37875458598136902,7,26053,25658
41691,2.0691756117157638,5.2504277509905508,0.61025643348693848,0.68058609962463379,0.64542126655578613,7,69030,68697
41692,2.2042722781188786,1.2108711677930328,0,0,0,0,4294967295,4294967295
41693,3.65044368756935,1.2133094440770269,0,0,0,0,4294967295,4294967295
41694,0.14884689031168818,0.52452545105900372,0,0,0,0,4294967295,4294967295
41695,1.0434274072758853,3.8606476115607258,0,0,0,0,4294967295,4294967295
41696,0.091698817443102598,4.0782806369869364,0,0,0,0,4294967295,4294967295
41697,3.046170802321285,4.910883480248776,0,0,0,0,4294967295,4294967295
41698,1.2023240164853632,5.0034458532374328,0,0,0,0,4294967295,4294967295
41699,0.43472148524597287,5.6478481169840027,0.38510379195213318,0.23272283375263214,0.30891332030296326,7,14793,14390
41700,2.2314243097789586,4.7689106848662686,0,0,0,0,4294967295,4294967295
41701,2.8273709095083177,4.9550101643822906,0,0,0,0,4294967295,4294967295
41702,0.55012051342055202,5.3045756492564298,0.36239317059516907,0.31257632374763489,0.33748474717140198,7,19371,19028
41703,2.0442892932333052,5.4900009532160476,0.69133090972900391,0.58681321144104004,0.63907206058502197,7,68027,67652
41704,3.0616314741782844,3.3002953281932079,0,0,0,0,4294967295,4294967295
41705,3.5348834316246212,2.9249616575592721,0,0,0,0,4294967295,4294967295
41706,3.9864655160345137,4.4293742261070363,0,0,0,0,4294967295,4294967295
41707,0.43021302064880729,1.5872302884096479,0,0,0,0,4294967295,4294967295
41708,2.6032063835300505,0.96436529041664576,0.78852260112762451,0.7181929349899292,0.75335776805877686,7,86105,86438
41709,0.30713776731863618,0.2006416408211254,0.096214897930622101,0.46446886658668518,0.28034189343452454,7,9749,10218
41710,1.7527022841386497,1.4763209989697061,0,0,0,0,4294967295,4294967295
41711,0.89236403210088611,0.58546400146280109,0.33137974143028259,0.47692307829856873,0.40415140986442566,7,29752,30151
41712,1.2230680142529309,2.8484916687115791,0,0,0,0,4294967295,4294967295
41713,0.31528685847297311,1.3796921291894206,0,0,0,0,4294967295,4294967295
41714,3.8657478555105627,2.0586214130221077,0,0,0,0,4294967295,4294967295
41715,3.4592601065523922,0.70206647506385789,0.86910867691040039,0.98046398162841797,0.92478632926940918,7,113730,114109
