            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.996898148, A.D. 2025-Jan-05 11:55:32.0000, -1.010287163945930E+04,  8.826163077588226E+03,  3.060929229419787E+02, -5.351975442407031E+00, -1.452157891603782E+00,  4.871616356525371E+00,
2460680.996909722, A.D. 2025-Jan-05 11:55:33.0000, -1.010822276082794E+04,  8.824710186731860E+03,  3.109645032424694E+02, -5.350308367463715E+00, -1.453613752627531E+00,  4.871565398027735E+00,
2460680.996921296, A.D. 2025-Jan-05 11:55:34.0000, -1.011357221512625E+04,  8.823255840558362E+03,  3.158360321692492E+02, -5.348641598046299E+00, -1.455068336802818E+00,  4.871513672059311E+00,
2460680.996932870, A.D. 2025-Jan-05 11:55:35.0000, -1.011892000266192E+04,  8.821800040344633E+03,  3.207075089563232E+02, -5.346975134960471E+00, -1.456521644868134E+00,  4.871461179754399E+00,
2460680.996944444, A.D. 2025-Jan-05 11:55:36.0000, -1.012426612374345E+04,  8.820342787366853E+03,  3.255789328388335E+02, -5.345308979009814E+00, -1.457973677562673E+00,  4.871407922246363E+00,
2460680.996956019, A.D. 2025-Jan-05 11:55:37.0000, -1.012961057868015E+04,  8.818884082900457E+03,  3.304503030530591E+02, -5.343643130995794E+00, -1.459424435626330E+00,  4.871353900667619E+00,
2460680.996967593, A.D. 2025-Jan-05 11:55:38.0000, -1.013495336778218E+04,  8.817423928220151E+03,  3.353216188364148E+02, -5.341977591717781E+00, -1.460873919799693E+00,  4.871299116149641E+00,
2460680.996979167, A.D. 2025-Jan-05 11:55:39.0000, -1.014029449136046E+04,  8.815962324599916E+03,  3.401928794274499E+02, -5.340312361973033E+00, -1.462322130824045E+00,  4.871243569822944E+00,
2460680.996990741, A.D. 2025-Jan-05 11:55:40.0000, -1.014563394972675E+04,  8.814499273312986E+03,  3.450640840658472E+02, -5.338647442556711E+00, -1.463769069441351E+00,  4.871187262817114E+00,
2460680.997002315, A.D. 2025-Jan-05 11:55:41.0000, -1.015097174319360E+04,  8.813034775631872E+03,  3.499352319924225E+02, -5.336982834261881E+00, -1.465214736394262E+00,  4.871130196260769E+00,
2460680.997013889, A.D. 2025-Jan-05 11:55:42.0000, -1.015630787207440E+04,  8.811568832828340E+03,  3.548063224491229E+02, -5.335318537879511E+00, -1.466659132426108E+00,  4.871072371281589E+00,
2460680.997025463, A.D. 2025-Jan-05 11:55:43.0000, -1.016164233668330E+04,  8.810101446173425E+03,  3.596773546790264E+02, -5.333654554198476E+00, -1.468102258280891E+00,  4.871013789006301E+00,
2460680.997037037, A.D. 2025-Jan-05 11:55:44.0000, -1.016697513733529E+04,  8.808632616937428E+03,  3.645483279263405E+02, -5.331990884005569E+00, -1.469544114703284E+00,  4.870954450560676E+00,
2460680.997048611, A.D. 2025-Jan-05 11:55:45.0000, -1.017230627434612E+04,  8.807162346389903E+03,  3.694192414364015E+02, -5.330327528085496E+00, -1.470984702438626E+00,  4.870894357069530E+00,
2460680.997060185, A.D. 2025-Jan-05 11:55:46.0000, -1.017763574803236E+04,  8.805690635799676E+03,  3.742900944556730E+02, -5.328664487220879E+00, -1.472424022232917E+00,  4.870833509656730E+00,
2460680.997071759, A.D. 2025-Jan-05 11:55:47.0000, -1.018296355871137E+04,  8.804217486434824E+03,  3.791608862317452E+02, -5.327001762192254E+00, -1.473862074832815E+00,  4.870771909445183E+00,
2460680.997083333, A.D. 2025-Jan-05 11:55:48.0000, -1.018828970670130E+04,  8.802742899562698E+03,  3.840316160133343E+02, -5.325339353778100E+00, -1.475298860985629E+00,  4.870709557556840E+00,
2460680.997094907, A.D. 2025-Jan-05 11:55:49.0000, -1.019361419232111E+04,  8.801266876449892E+03,  3.889022830502809E+02, -5.323677262754805E+00, -1.476734381439321E+00,  4.870646455112690E+00,
2460680.997106481, A.D. 2025-Jan-05 11:55:50.0000, -1.019893701589049E+04,  8.799789418362274E+03,  3.937728865935484E+02, -5.322015489896691E+00, -1.478168636942492E+00,  4.870582603232770E+00,
2460680.997118055, A.D. 2025-Jan-05 11:55:51.0000, -1.020425817772999E+04,  8.798310526564963E+03,  3.986434258952242E+02, -5.320354035976017E+00, -1.479601628244390E+00,  4.870518003036154E+00,
2460680.997129630, A.D. 2025-Jan-05 11:55:52.0000, -1.020957767816090E+04,  8.796830202322333E+03,  4.035139002085158E+02, -5.318692901762974E+00, -1.481033356094894E+00,  4.870452655640951E+00,
