trajectory_id,step,before,drive,x,asa,na,hits,output,j,k,after
12,10,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,11,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,12,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,13,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,14,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,15,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,16,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,17,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,18,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,19,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,20,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,21,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,22,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,23,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,24,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,25,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,26,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,27,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
12,28,1621297480,4242746326,1621297480,1082130432,0,0,0,4242746334,2621448854,1621297480
13,0,1346388017,160918862,160902478,16777220,16777220,0,16777220,144141642,4294967295,8390658
13,1,8390658,160918862,152528204,16793604,16793604,0,16793604,144125258,4294967295,0
13,2,0,160918862,160918862,16793604,16793604,0,16793604,144125258,4294967295,8390658
13,3,8390658,160918862,152528204,16793604,16793604,0,16793604,144125258,4294967295,0
13,4,0,160918862,160918862,16793604,16793604,0,16793604,144125258,4294967295,8390658
13,5,8390658,160918862,152528204,16793604,16793604,0,16793604,144125258,4294967295,0
13,6,0,160918862,160918862,16793604,16793604,0,16793604,144125258,4294967295,8390658
13,7,8390658,160918862,152528204,16793604,16793604,0,16793604,144125258,4294967295,0
13,8,0,160918862,160918862,16793604,16793604,0,16793604,144125258,4294967295,8390658
13,9,8390658,160918862,152528204,16793604,16793604,0,16793604,144125258,4294967295,0
14,0,285212676,2854363835,1155390784,65792,65792,0,65792,3139576511,3139576511,2315387409
14,1,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,2,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,3,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,4,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,5,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,6,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,7,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,8,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,9,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,10,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,11,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,12,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,13,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,14,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,15,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,16,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,17,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,18,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,19,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,20,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
14,21,2315387409,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,0
14,22,0,2854363835,1440603460,16843012,65792,0,65792,2854363835,2854363835,2315387409
15,0,681002072,1970412171,1575313107,1233403904,1098907648,0,1098907648,1970412171,1628569608,1233472594
15,1,1233472594,1970412171,1022842585,144064520,9437184,0,9437184,1970412171,1091569666,681002072
15,2,681002072,1970412171,1575313107,1233403904,1098907648,0,1098907648,1970412171,1628569608,1233472594
15,3,1233472594,1970412171,1022842585,144064520,9437184,0,9437184,1970412171,1091569666,681002072
16,0,237011088,757790622,587888398,4100,0,0,0,0,203456656,33554432
16,1,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,2,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,3,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,4,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,5,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,6,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,7,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,8,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,9,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,10,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,11,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,12,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,13,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,14,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,15,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
16,16,33554432,757790622,791345054,36996,32896,0,32896,0,32896,33554432
17,0,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,1,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,2,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,3,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,4,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,5,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,6,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,7,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,8,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,9,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,10,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,11,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,12,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,13,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,14,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,15,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,16,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,17,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,18,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,19,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,20,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,21,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,22,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,23,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,24,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,25,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,26,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,27,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,28,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
17,29,2422479297,1478505606,1478505606,404751488,270532608,1,0,0,0,2422479297
18,0,67178496,2029717072,67112960,0,0,0,0,2198202799,2096764496,81927
18,1,81927,2029717072,16391,16390,16388,0,16388,2265315756,2029651539,67194884
18,2,67194884,2029717072,67129348,16388,16388,0,16388,2198202799,2096764496,81927
18,3,81927,2029717072,16391,16390,16388,0,16388,2265315756,2029651539,67194884
18,4,67194884,2029717072,67129348,16388,16388,0,16388,2198202799,2096764496,81927
18,5,81927,2029717072,16391,16390,16388,0,16388,2265315756,2029651539,67194884
18,6,67194884,2029717072,67129348,16388,16388,0,16388,2198202799,2096764496,81927
18,7,81927,2029717072,16391,16390,16388,0,16388,2265315756,2029651539,67194884
18,8,67194884,2029717072,67129348,16388,16388,0,16388,2198202799,2096764496,81927
18,9,81927,2029717072,16391,16390,16388,0,16388,2265315756,2029651539,67194884
18,10,67194884,2029717072,67129348,16388,16388,0,16388,2198202799,2096764496,81927
19,0,33722496,1231210998,1231210998,134250496,32768,1,0,1264605558,0,167942276
19,1,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,2,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,3,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,4,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,5,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,6,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,7,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,8,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,9,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,10,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,11,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,12,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,13,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,14,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,15,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,16,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,17,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,18,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,19,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,20,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,21,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,22,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
19,23,167942276,1231210998,1231210998,134250496,32768,1,0,1130385778,0,167942276
20,0,131161,2670736186,2670867323,2105417,2105352,0,2105352,4294836134,4294836134,287730297
20,1,287730297,2670736186,2671147899,2107465,2105352,0,2105352,4007236998,4007236998,287730297
20,2,287730297,2670736186,2671147899,2107465,2105352,0,2105352,4007236998,4007236998,287730297
20,3,287730297,2670736186,2671147899,2107465,2105352,0,2105352,4007236998,4007236998,287730297
20,4,287730297,2670736186,2671147899,2107465,2105352,0,2105352,4007236998,4007236998,287730297
21,0,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,1,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,2,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,3,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,4,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,5,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,6,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,7,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,8,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,9,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,10,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,11,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,12,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,13,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,14,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,15,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
21,16,604246562,3337700633,4227858431,285216822,285216768,1,0,4294967295,4294967295,1361084436
21,17,1361084436,3337700633,3219128303,285216806,285216768,1,0,4294967295,4294967295,604246562
22,0,1614438415,272805264,1887104415,1075863562,16386,0,16386,1614438415,4294967295,0
22,1,0,272805264,272805264,8192,0,0,0,0,4294967295,0
22,2,0,272805264,272805264,8192,0,0,0,0,4294967295,0
22,3,0,272805264,272805264,8192,0,0,0,0,4294967295,0
22,4,0,272805264,272805264,8192,0,0,0,0,4294967295,0
22,5,0,272805264,272805264,8192,0,0,0,0,4294967295,0
22,6,0,272805264,272805264,8192,0,0,0,0,4294967295,0
