            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.600694444, A.D. 2025-Jan-01 02:25:00.0000, -8.988374263581507E+03, -1.085441990939482E+05,  8.964807757630783E+04,  5.145480331626998E-01, -6.563645810428720E-01,  1.467450913257659E-01,
2460676.604166667, A.D. 2025-Jan-01 02:30:00.0000, -8.833952593182672E+03, -1.087404151037486E+05,  8.969152803640714E+04,  5.149284486710564E-01, -6.517435246076394E-01,  1.429266137223877E-01,
2460676.607638889, A.D. 2025-Jan-01 02:35:00.0000, -8.679417983909789E+03, -1.089352460271817E+05,  8.973383472072202E+04,  5.153009693641952E-01, -6.471306535634029E-01,  1.391198981217618E-01,
2460676.611111111, A.D. 2025-Jan-01 02:40:00.0000, -8.524772795132149E+03, -1.091286943031243E+05,  8.977500113869460E+04,  5.156656554518674E-01, -6.425258563209651E-01,  1.353248170138237E-01,
2460676.614583333, A.D. 2025-Jan-01 02:45:00.0000, -8.370019368306243E+03, -1.093207623371322E+05,  8.981503076173831E+04,  5.160225660918355E-01, -6.379290222629624E-01,  1.315412443659956E-01,
2460676.618055556, A.D. 2025-Jan-01 02:50:00.0000, -8.215160027328455E+03, -1.095114525016800E+05,  8.985392702366642E+04,  5.163717594071944E-01, -6.333400417279003E-01,  1.277690555988936E-01,
2460676.621527778, A.D. 2025-Jan-01 02:55:00.0000, -8.060197078802694E+03, -1.097007671364959E+05,  8.989169332113559E+04,  5.167132925035071E-01, -6.287588059919754E-01,  1.240081275605280E-01,
2460676.625000000, A.D. 2025-Jan-01 03:00:00.0000, -7.905132812362662E+03, -1.098887085488161E+05,  8.992833301406546E+04,  5.170472214853886E-01, -6.241852072531106E-01,  1.202583385023630E-01,
2460676.628472222, A.D. 2025-Jan-01 03:05:00.0000, -7.749969500883032E+03, -1.100752790137631E+05,  8.996384942607553E+04,  5.173736014729440E-01, -6.196191386119343E-01,  1.165195680534842E-01,
2460676.631944444, A.D. 2025-Jan-01 03:10:00.0000, -7.594709401013261E+03, -1.102604807743260E+05,  8.999824584484116E+04,  5.176924866171567E-01, -6.150604940627959E-01,  1.127916972029021E-01,
2460676.635416667, A.D. 2025-Jan-01 03:15:00.0000, -7.439354753185624E+03, -1.104443160419613E+05,  9.003152552256055E+04,  5.180039301159941E-01, -6.105091684697127E-01,  1.090746082698713E-01,
2460676.638888889, A.D. 2025-Jan-01 03:20:00.0000, -7.283907782006068E+03, -1.106267869967231E+05,  9.006369167632672E+04,  5.183079842293623E-01, -6.059650575539134E-01,  1.053681848839561E-01,
2460676.642361111, A.D. 2025-Jan-01 03:25:00.0000, -7.128370696571626E+03, -1.108078957874727E+05,  9.009474748850851E+04,  5.186047002938140E-01, -6.014280578796416E-01,  1.016723119639807E-01,
2460676.645833333, A.D. 2025-Jan-01 03:30:00.0000, -6.972745690717597E+03, -1.109876445321623E+05,  9.012469610714092E+04,  5.188941287373910E-01, -5.968980668383888E-01,  9.798687569554612E-02,
2460676.649305556, A.D. 2025-Jan-01 03:35:00.0000, -6.817034943210646E+03, -1.111660353181691E+05,  9.015354064631526E+04,  5.191763190935283E-01, -5.923749826316300E-01,  9.431176350807194E-02,
2460676.652777778, A.D. 2025-Jan-01 03:40:00.0000, -6.661240618255529E+03, -1.113430702022618E+05,  9.018128418650608E+04,  5.194513200142251E-01, -5.878587042628407E-01,  9.064686405959935E-02,
2460676.656250000, A.D. 2025-Jan-01 03:45:00.0000, -6.505364865476156E+03, -1.115187512111600E+05,  9.020792977498758E+04,  5.197191792845293E-01, -5.833491315154538E-01,  8.699206720976611E-02,
2460676.659722222, A.D. 2025-Jan-01 03:50:00.0000, -6.349409820281187E+03, -1.116930803416430E+05,  9.023348042617099E+04,  5.199799438355044E-01, -5.788461649417578E-01,  8.334726400224157E-02,
2460676.663194444, A.D. 2025-Jan-01 03:55:00.0000, -6.193377604158316E+03, -1.118660595607335E+05,  9.025793912195049E+04,  5.202336597570120E-01, -5.743497058499928E-01,  7.971234664603090E-02,
2460676.666666667, A.D. 2025-Jan-01 04:00:00.0000, -6.037270324884181E+03, -1.120376908059678E+05,  9.028130881205654E+04,  5.204803723104323E-01, -5.698596562896259E-01,  7.608720849517542E-02,
2460676.670138889, A.D. 2025-Jan-01 04:05:00.0000, -5.881090076790739E+03, -1.122079759855945E+05,  9.030359241439364E+04,  5.207201259409839E-01, -5.653759190382075E-01,  7.247174403028511E-02,
2460676.673611111, A.D. 2025-Jan-01 04:10:00.0000, -5.724838940921019E+03, -1.123769169788854E+05,  9.032479281538739E+04,  5.209529642899279E-01, -5.608983975858298E-01,  6.886584883795452E-02,
2460676.677083333, A.D. 2025-Jan-01 04:15:00.0000, -5.568518985511042E+03, -1.125445156360858E+05,  9.034491287028123E+04,  5.211789302060191E-01, -5.564269961286725E-01,  6.526941959801308E-02,
2460676.680555556, A.D. 2025-Jan-01 04:20:00.0000, -5.412132265943531E+03, -1.127107737789284E+05,  9.036395540349885E+04,  5.213980657574628E-01, -5.519616195482990E-01,  6.168235405914663E-02,
2460676.684027778, A.D. 2025-Jan-01 04:25:00.0000, -5.255680825088393E+03, -1.128756932007207E+05,  9.038192320894841E+04,  5.216104122430147E-01, -5.475021734018390E-01,  5.810455102379829E-02,
2460676.687500000, A.D. 2025-Jan-01 04:30:00.0000, -5.099166693570312E+03, -1.130392756665043E+05,  9.039881905033041E+04,  5.218160102030986E-01, -5.430485639107613E-01,  5.453591033175121E-02,
2460676.690972222, A.D. 2025-Jan-01 04:35:00.0000, -4.942591889966862E+03, -1.132015229132831E+05,  9.041464566145092E+04,  5.220148994303858E-01, -5.386006979474683E-01,  5.097633284248901E-02,
2460676.694444444, A.D. 2025-Jan-01 04:40:00.0000, -4.785958420953490E+03, -1.133624366502954E+05,  9.042940574653127E+04,  5.222071189804205E-01, -5.341584830209963E-01,  4.742572041684576E-02,
2460676.697916667, A.D. 2025-Jan-01 04:45:00.0000, -4.629268281764794E+03, -1.135220185589566E+05,  9.044310198048456E+04,  5.223927071817417E-01, -5.297218272719074E-01,  4.388397590606689E-02,
2460676.701388889, A.D. 2025-Jan-01 04:50:00.0000, -4.472523456128246E+03, -1.136802702933356E+05,  9.045573700923576E+04,  5.225717016462564E-01, -5.252906394524640E-01,  4.035100312931026E-02,
2460676.704861111, A.D. 2025-Jan-01 04:55:00.0000, -4.315725916585955E+03, -1.138371934802259E+05,  9.046731344999989E+04,  5.227441392789144E-01, -5.208648289180149E-01,  3.682670686039786E-02,
2460676.708333333, A.D. 2025-Jan-01 05:00:00.0000, -4.158877624743839E+03, -1.139927897192854E+05,  9.047783389156248E+04,  5.229100562872820E-01, -5.164443056165547E-01,  3.331099281313465E-02,
2460676.711805556, A.D. 2025-Jan-01 05:05:00.0000, -4.001980531451567E+03, -1.141470605832420E+05,  9.048730089456248E+04,  5.230694881909691E-01, -5.120289800766281E-01,  2.980376762538547E-02,
2460676.715277778, A.D. 2025-Jan-01 05:10:00.0000, -3.845036576929662E+03, -1.143000076181403E+05,  9.049571699177056E+04,  5.232224698308833E-01, -5.076187633939533E-01,  2.630493884246502E-02,
2460676.718750000, A.D. 2025-Jan-01 05:15:00.0000, -3.688047691213921E+03, -1.144516323432761E+05,  9.050308468834731E+04,  5.233690353779770E-01, -5.032135672270968E-01,  2.281441490775456E-02,
