invalid option value out-solstat (gps_single.conf:28)
processing : 2026/09/14 21:45:12 Q=5
processing : 2026/09/14 21:45:13 Q=5
processing : 2026/09/14 21:45:14 Q=5
processing : 2026/09/14 21:45:15 Q=5
processing : 2026/09/14 21:45:16 Q=5
processing : 2026/09/14 21:45:17 Q=5
processing : 2026/09/14 21:45:18 Q=5
processing : 2026/09/14 21:45:19 Q=5
processing : 2026/09/14 21:45:20 Q=5
processing : 2026/09/14 21:45:21 Q=5
processing : 2026/09/14 21:45:22 Q=5
processing : 2026/09/14 21:45:23 Q=5
processing : 2026/09/14 21:45:24 Q=5
processing : 2026/09/14 21:45:25 Q=5
processing : 2026/09/14 21:45:26 Q=5
processing : 2026/09/14 21:45:27 Q=5
processing : 2026/09/14 21:45:28 Q=5
processing : 2026/09/14 21:45:29 Q=5
processing : 2026/09/14 21:45:30 Q=5
processing : 2026/09/14 21:45:31 Q=5
processing : 2026/09/14 21:45:32 Q=5
processing : 2026/09/14 21:45:33 Q=5
processing : 2026/09/14 21:45:34 Q=5
processing : 2026/09/14 21:45:35 Q=5
processing : 2026/09/14 21:45:36 Q=5
processing : 2026/09/14 21:45:37 Q=5
processing : 2026/09/14 21:45:38 Q=5
processing : 2026/09/14 21:45:39 Q=5
processing : 2026/09/14 21:45:40 Q=5
processing : 2026/09/14 21:45:41 Q=5
processing : 2026/09/14 21:45:42 Q=5
processing : 2026/09/14 21:45:43 Q=5
processing : 2026/09/14 21:45:44 Q=5
processing : 2026/09/14 21:45:45 Q=5
processing : 2026/09/14 21:45:46 Q=5
processing : 2026/09/14 21:45:47 Q=5
processing : 2026/09/14 21:45:48 Q=5
processing : 2026/09/14 21:45:49 Q=5
processing : 2026/09/14 21:45:50 Q=5
processing : 2026/09/14 21:45:51 Q=5
processing : 2026/09/14 21:45:52 Q=5
processing : 2026/09/14 21:45:53 Q=5
processing : 2026/09/14 21:45:54 Q=5
processing : 2026/09/14 21:45:55 Q=5
processing : 2026/09/14 21:45:56 Q=5
processing : 2026/09/14 21:45:57 Q=5
processing : 2026/09/14 21:45:58 Q=5
processing : 2026/09/14 21:45:59 Q=5
processing : 2026/09/14 21:46:00 Q=5
processing : 2026/09/14 21:46:01 Q=5
processing : 2026/09/14 21:46:02 Q=5
processing : 2026/09/14 21:46:03 Q=5
processing : 2026/09/14 21:46:04 Q=5
processing : 2026/09/14 21:46:05 Q=5
processing : 2026/09/14 21:46:06 Q=5
processing : 2026/09/14 21:46:07 Q=5
processing : 2026/09/14 21:46:08 Q=5
processing : 2026/09/14 21:46:09 Q=5
processing : 2026/09/14 21:46:10 Q=5
processing : 2026/09/14 21:46:11 Q=5
processing : 2026/09/14 21:46:12 Q=5
processing : 2026/09/14 21:46:13 Q=5
processing : 2026/09/14 21:46:14 Q=5
processing : 2026/09/14 21:46:15 Q=5
processing : 2026/09/14 21:46:16 Q=5
processing : 2026/09/14 21:46:17 Q=5
processing : 2026/09/14 21:46:18 Q=5
processing : 2026/09/14 21:46:19 Q=5
processing : 2026/09/14 21:46:20 Q=5
processing : 2026/09/14 21:46:21 Q=5
processing : 2026/09/14 21:46:22 Q=5
                                        
