epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
30,1473458171.0,4426043.221677413,-89428.43641343087,4576297.770437319,-11188.98124132732,4294967295,4294967295,0
31,1473458172.0,4426043.225641608,-89428.50197111478,4576297.774484749,-11040.756248194928,4294967295,4294967295,0
32,1473458173.0,4426043.075515492,-89428.43551772331,4576297.732559069,-10892.763905421285,4294967295,4294967295,0
33,1473458174.0,4426043.210582706,-89428.46060163093,4576297.746871077,-10744.405665461505,4294967295,4294967295,0
34,1473458175.0,4426043.345884493,-89428.46382110284,4576297.788111457,-10595.979406694014,4294967295,4294967295,0
35,1473458176.0,4426043.452929963,-89428.50079400637,4576297.827007237,-10447.646240206726,4294967295,4294967295,0
36,1473458177.0,4426043.478053748,-89428.52699752356,4576297.916351293,-10299.303828336353,4294967295,4294967295,0
37,1473458178.0,4426043.425834448,-89428.55059382181,4576298.009326148,-10150.859407422466,4294967295,4294967295,0
38,1473458179.0,4426043.438031817,-89428.5600761305,4576297.896231066,-10002.568647746884,4294967295,4294967295,0
39,1473458180.0,4426043.348957526,-89428.50429011964,4576297.871079027,-9854.275494931764,4294967295,4294967295,0
40,1473458181.0,4426043.288335401,-89428.47137063426,4576297.870307675,-9705.855019129136,4294967295,4294967295,0
41,1473458182.0,4426043.251798234,-89428.4820648944,4576297.910920704,-9557.431165418053,4294967295,4294967295,0
42,1473458183.0,4426043.435940732,-89428.39962006354,4576297.983862282,-9408.901917913588,4294967295,4294967295,0
43,1473458184.0,4426043.512331724,-89428.41007979812,4576298.1183310235,-9260.394589624244,4294967295,4294967295,0
44,1473458185.0,4426043.511189813,-89428.35772696714,4576298.018485835,-9112.05217839479,4294967295,4294967295,0
45,1473458186.0,4426043.447560728,-89428.35518626269,4576298.040510991,-8963.625757107697,4294967295,4294967295,0
46,1473458187.0,4426043.334658785,-89428.31766744323,4576298.059260659,-8815.256370933974,4294967295,4294967295,0
47,1473458188.0,4426043.279820463,-89428.34384885669,4576298.043798076,-8666.994177393479,4294967295,4294967295,0
48,1473458189.0,4426043.327201979,-89428.3094970576,4576298.204896598,-8518.58040120407,4294967295,4294967295,0
49,1473458190.0,4426043.393496775,-89428.31434188597,4576298.24615242,-8370.200364942752,4294967295,4294967295,0
50,1473458191.0,4426043.398693999,-89428.30252997094,4576298.183650761,-8221.82352711879,4294967295,4294967295,0
51,1473458192.0,4426043.4583251625,-89428.25832756679,4576298.087432074,-8073.429017174928,4294967295,4294967295,0
52,1473458193.0,4426043.39863552,-89428.29179656117,4576297.9601833215,-7925.155178662814,4294967295,4294967295,0
53,1473458194.0,4426043.3093843255,-89428.23037469856,4576297.978001536,-7776.878693198342,4294967295,4294967295,0
54,1473458195.0,4426043.373782268,-89428.21105731613,4576298.000506435,-7628.546297181628,4294967295,4294967295,0
55,1473458196.0,4426043.490141271,-89428.29285645724,4576297.984919826,-7480.184010336191,4294967295,4294967295,0
56,1473458197.0,4426043.520789335,-89428.33759632813,4576298.043238529,-7331.786564476063,4294967295,4294967295,0
57,1473458198.0,4426043.639732212,-89428.3314944361,4576298.237380405,-7183.2630588426455,4294967295,4294967295,0
58,1473458199.0,4426043.520949692,-89428.37238029156,4576298.175628183,-7035.059946382611,4294967295,4294967295,0
