trajectory_id,epoch_id,time,valid,target_e,target_n,target_u,observed_x,observed_y,observed_z,clock_bias_m,force_e,force_n,force_u
0,22,1400000022.0,1,282.99999999679454,-102.40000000183626,3.2339856150445847,3920105.789603671,343248.8974266837,5002821.651238363,75000.44000000048,0.0,0.0,0.0
0,23,1400000023.0,1,284.4999999982944,-101.59999999951941,2.982820847849169,3920104.8768162993,343250.32329789427,5002821.945847007,75000.4600000006,0.0,0.0,0.0
0,24,1400000024.0,1,285.99999999970197,-100.79999999959409,2.701852726138778,3920103.945749975,343251.7475699036,5002822.216970286,75000.48000000094,0.0,0.0,0.0
0,25,1400000025.0,1,287.4999999986358,-99.99999999973376,2.3938885753167867,3920102.998126481,343253.1703933459,5002822.466820404,75000.50000000013,0.0,0.0,0.0
0,26,1400000026.0,1,288.9999999975637,-99.19999999985617,2.062005485661075,3920102.035833055,343254.59193333535,5002822.6978221405,75000.5199999968,0.0,0.0,0.0
0,27,1400000027.0,1,290.5000000018841,-98.3999999985029,1.7095195230858007,3920101.0609035003,343256.0123678122,5002822.912588593,75000.54000000014,0.0,0.0,0.0
0,28,1400000028.0,1,291.99999999994725,-97.6000000009543,1.3399525959782874,3920100.075497874,343257.4318857453,5002823.113895059,75000.55999999336,0.0,0.0,0.0
0,29,1400000029.0,1,293.49999999935386,-96.80000000102643,0.9569973183038982,3920099.08188092,343258.8506852817,5002823.304651362,75000.57999999746,0.0,0.0,0.0
0,30,1400000030.0,1,295.0000000036327,-96.00000000022646,0.5644800321875039,3920098.0823994065,343260.26897174044,5002823.4878727,75000.60000000412,0.0,0.0,0.0
0,31,1400000031.0,1,296.49999999826804,-95.200000000518,0.16632264928533402,3920097.0794587177,343261.6869555509,5002823.666649581,75000.61999999979,0.0,0.0,0.0
