generation,branch,rho,phi,alive,cell,status,orientation
9,838,-0.265053779,1.09779549,0,4294967295,1,0
9,839,-0.222600684,1.07485938,0,33967,3,0
9,844,-0.221244976,1.20410061,0,33988,3,0
9,845,-0.262571424,1.08817649,0,4294967295,1,0
9,846,-0.218831569,1.05997145,0,33964,3,0
9,847,-0.217705011,0.920139968,1,33941,0,0
9,848,-0.223794401,1.34615862,0,34011,3,0
9,849,-0.22251372,1.207708,0,33988,3,0
9,850,-0.26253587,1.08745122,0,4294967295,1,0
9,851,-0.219998747,1.06419265,0,33965,3,0
9,856,-0.218741313,1.19282949,0,33986,3,0
9,857,-0.217526138,1.0535543,0,33963,3,0
9,858,-0.259011865,0.937388241,0,4294967295,1,0
9,859,-0.215211838,0.908681035,1,33940,0,0
9,860,-0.215196222,1.04302359,1,33961,0,0
9,861,-0.257917821,0.93201226,0,4294967295,1,0
9,936,-0.226536408,1.16723263,0,33982,3,0
9,937,-0.214994967,1.04000175,1,33961,0,0
9,938,-0.213806227,1.03494287,1,33960,0,0
9,939,-0.212691098,0.894981623,1,33937,0,0
9,940,-0.212676361,1.02933121,1,33959,0,0
9,941,-0.211573243,0.889389813,1,33936,0,0
9,942,-0.210506484,0.883788168,1,33936,0,0
9,943,-0.209522709,0.743350267,1,33913,0,0
9,944,-0.225390419,1.16105616,0,33981,3,0
9,945,-0.256638467,1.05804658,0,4294967295,1,0
9,946,-0.212663516,1.0287056,1,33959,0,0
9,947,-0.255502284,0.918165684,0,4294967295,1,0
9,952,-0.210443527,1.01676834,1,33957,0,0
9,953,-0.209350377,0.876783133,1,33934,0,0
9,954,-0.20829919,0.871164083,1,33933,0,0
9,955,-0.252380759,0.766277492,0,4294967295,1,0
9,956,-0.207323238,0.865105867,1,33932,0,0
9,957,-0.206357375,0.7246176,1,33910,0,0
9,958,-0.205454111,0.718597233,1,33909,0,0
9,959,-0.204646736,0.577842832,1,33886,0,0
9,960,-0.220025957,1.32611251,0,34008,3,0
9,961,-0.218753308,1.18755996,0,33985,3,0
9,964,-0.226547495,1.16596234,0,33982,3,0
9,965,-0.214992896,1.03867984,1,33961,0,0
9,966,-0.213825107,1.03369188,1,33960,0,0
9,967,-0.212712392,0.893738389,1,33937,0,0
9,992,-0.223099828,1.14721024,0,33978,3,0
9,993,-0.21151495,1.0197109,1,33958,0,0
9,994,-0.210344598,1.0145818,1,33957,0,0
9,995,-0.209251702,0.874577582,1,33934,0,0
9,996,-0.209244862,1.00896311,1,33956,0,0
9,997,-0.208152041,0.868922591,1,33933,0,0
