trajectory_id,channel,ux,uy,uz,k_off,k_on,force_off,force_on,angle_center,angle_tolerance,error_limit,fringe_width,support_kind,cx,cy,cz,support_extent,support_ax,support_ay,support_az,support_angle
17,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
17,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
17,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1000,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1000,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1000,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1001,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1001,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1001,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1002,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1002,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1002,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1003,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1003,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1003,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1004,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1004,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1004,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1005,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1005,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1005,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1006,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1006,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1006,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1007,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1007,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1007,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1008,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1008,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1008,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1009,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1009,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1009,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1010,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1010,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1010,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1011,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1011,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1011,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1012,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1012,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1012,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1013,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1013,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1013,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1014,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1014,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1014,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1015,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1015,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1015,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1016,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1016,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1016,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1017,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1017,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1017,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1018,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1018,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1018,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1019,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1019,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1019,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1020,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1020,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1020,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1021,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1021,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1021,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1022,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1022,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1022,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1023,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1023,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1023,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1024,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1024,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1024,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1025,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1025,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1025,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1026,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1026,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1026,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1027,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1027,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1027,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1028,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1028,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1028,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1029,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1029,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1029,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1030,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1030,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1030,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1031,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1031,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1031,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1032,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1032,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1032,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1033,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1033,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1033,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1034,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1034,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1034,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1035,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1035,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1035,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1036,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1036,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1036,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1037,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1037,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1037,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1038,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1038,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1038,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1039,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1039,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1039,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1040,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1040,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1040,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1041,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1041,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1041,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1042,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1042,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1042,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1043,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1043,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1043,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1044,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1044,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1044,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1045,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1045,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1045,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1046,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1046,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1046,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1047,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1047,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1047,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1048,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1048,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1048,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1049,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1049,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1049,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1050,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1050,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1050,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1051,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1051,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1051,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1052,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1052,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1052,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1053,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1053,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1053,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1054,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1054,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1054,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1055,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1055,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1055,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1056,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
1056,1,0,0.7071067811865476,0.7071067811865476,0,2,-0.1,0.1,1,1,0.4,0.1,1,0,0,-20,100,0,0,1,1.1
1056,2,1,0,0,0.2,4,0,-0.2,-1,0.8,1.1,0.2,0,8,0,0,20,0.0,0.0,1.0,0.0
1057,0,0.7071067811865476,0.7071067811865476,0,0.1,3,0,0.5,0,1.2,0.7,0.1,0,0,0,0,50,0.0,0.0,1.0,0.0
