            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460700.736111111, A.D. 2025-Jan-25 05:40:00.0000,  5.276252609743055E+03, -1.209262218087962E+05,  8.886383337838367E+04,  5.250467131676976E-01, -2.491472199141365E-01, -1.936161782952149E-01,
2460700.739583333, A.D. 2025-Jan-25 05:45:00.0000,  5.433738452166654E+03, -1.210003251642311E+05,  8.880527705797442E+04,  5.248579951065437E-01, -2.448751504077855E-01, -1.967586269206606E-01,
2460700.743055556, A.D. 2025-Jan-25 05:50:00.0000,  5.591166862161202E+03, -1.210731468959125E+05,  8.874577859793267E+04,  5.246638311148621E-01, -2.406030498689377E-01, -1.998971187256796E-01,
2460700.746527778, A.D. 2025-Jan-25 05:55:00.0000,  5.748536206442526E+03, -1.211446869839160E+05,  8.868533917680882E+04,  5.244642243102374E-01, -2.363308474835119E-01, -2.030317102540898E-01,
2460700.750000000, A.D. 2025-Jan-25 06:00:00.0000,  5.905844852612175E+03, -1.212149453870812E+05,  8.862395995623243E+04,  5.242591774147024E-01, -2.320584724587383E-01, -2.061624577434206E-01,
2460700.753472222, A.D. 2025-Jan-25 06:05:00.0000,  6.063091168987138E+03, -1.212839220429926E+05,  8.856164208102302E+04,  5.240486927558402E-01, -2.277858540180066E-01, -2.092894171297441E-01,
2460700.756944444, A.D. 2025-Jan-25 06:10:00.0000,  6.220273524607516E+03, -1.213516168680398E+05,  8.849838667922992E+04,  5.238327722675945E-01, -2.235129213911001E-01, -2.124126440557197E-01,
2460700.760416667, A.D. 2025-Jan-25 06:15:00.0000,  6.377390288866252E+03, -1.214180297573095E+05,  8.843419486232170E+04,  5.236114174915081E-01, -2.192396038146329E-01, -2.155321938711373E-01,
2460700.763888889, A.D. 2025-Jan-25 06:20:00.0000,  6.534439831678187E+03, -1.214831605847099E+05,  8.836906772515661E+04,  5.233846295771502E-01, -2.149658305178208E-01, -2.186481216441187E-01,
2460700.767361111, A.D. 2025-Jan-25 06:25:00.0000,  6.691420523242716E+03, -1.215470092029155E+05,  8.830300634611527E+04,  5.231524092830130E-01, -2.106915307192993E-01, -2.217604821642723E-01,
