generation,branch,rho,phi,alive,cell,status,orientation
9,561,-0.271387398,1.32850099,1,31960,0,0
9,562,-0.269303828,1.32821417,1,31960,0,0
9,563,-0.267312139,1.19297206,1,31938,0,0
9,566,-0.263068706,1.1929425,1,31938,0,0
9,567,-0.261079311,1.05797088,1,31916,0,0
9,568,-0.264920115,1.32843554,1,31960,0,0
9,569,-0.262933493,1.19319355,1,31938,0,0
9,570,-0.260861158,1.19318914,1,31938,0,0
9,571,-0.258868545,1.05821717,1,31916,0,0
9,572,-0.258724868,1.19345164,1,31938,0,0
9,573,-0.256736517,1.05847919,1,31916,0,0
9,574,-0.293203115,0.949674726,0,4294967295,1,0
9,575,-0.252726942,0.92404598,1,31894,0,0
9,832,-0.261242896,1.46794808,1,31983,0,0
9,833,-0.293828577,1.35811627,0,4294967295,1,0
9,834,-0.257276922,1.33214855,1,31961,0,0
9,835,-0.291796148,1.22280979,0,4294967295,1,0
9,836,-0.255140066,1.33211291,1,31961,0,0
9,837,-0.253177226,1.19686747,1,31939,0,0
9,838,-0.287615597,1.08771384,0,4294967295,1,0
9,839,-0.249151826,1.06187916,1,32941,0,0
9,844,-0.246805072,1.1973455,1,32963,0,0
9,845,-0.283299834,1.08813822,0,4294967295,1,0
9,846,-0.242831275,1.06262851,1,32941,0,0
9,847,-0.240898818,0.927911341,1,32919,0,0
9,848,-0.250722259,1.33287513,1,31961,0,0
9,849,-0.248760834,1.19762921,1,32963,0,0
9,850,-0.283212751,1.08840692,0,4294967295,1,0
9,851,-0.244753197,1.06263638,1,32941,0,0
9,856,-0.242459565,1.19839048,1,32963,0,0
9,857,-0.240503296,1.0634104,1,32941,0,0
9,858,-0.276937604,0.954358697,0,4294967295,1,0
9,859,-0.236577943,0.92894733,1,32919,0,0
9,860,-0.236465245,1.06419182,1,32941,0,0
9,861,-0.274891287,0.954853296,0,4294967295,1,0
9,936,-0.238006443,1.20033777,1,32963,0,0
9,937,-0.236058846,1.06535149,1,32941,0,0
9,938,-0.234051749,1.06560588,1,32941,0,0
9,939,-0.232128128,0.930880666,1,32919,0,0
9,940,-0.232015684,1.0661242,1,32941,0,0
9,941,-0.230095953,0.931398451,1,32919,0,0
