trajectory_id,epoch_id,time,valid,target_e,target_n,target_u,observed_x,observed_y,observed_z,clock_bias_m,force_e,force_n,force_u
0,25,1400000025.0,1,287.50000000212657,-100.0000000014478,2.3938885766559537,3920102.998126483,343253.17039334954,5002822.466820404,75000.49999999866,0.0,0.0,0.0
0,26,1400000026.0,1,289.00000000091524,-99.19999999804048,2.0620054854243595,3920102.0358330533,343254.59193333855,5002822.697822141,75000.5199999975,0.0,0.0,0.0
0,27,1400000027.0,1,290.50000000162316,-98.40000000090004,1.7095195237767697,3920101.0609035026,343256.01236781216,5002822.912588592,75000.54000000044,0.0,0.0,0.0
0,28,1400000028.0,1,292.00000000145496,-97.60000000302158,1.3399526011390268,3920100.0754978787,343257.43188574724,5002823.113895061,75000.55999999808,0.0,0.0,0.0
0,29,1400000029.0,1,293.5000000001193,-96.80000000025909,0.9569973224318353,3920099.081880922,343258.8506852826,5002823.304651366,75000.57999999939,0.0,0.0,0.0
0,30,1400000030.0,1,294.9999999983965,-96.0000000006439,0.5644800301498982,3920098.082399406,343260.26897173515,5002823.487872698,75000.59999999982,0.0,0.0,0.0
0,31,1400000031.0,1,296.4999999985522,-95.20000000221602,0.16632264943010355,3920097.079458719,343261.6869555513,5002823.66664958,75000.61999999906,0.0,0.0,0.0
0,32,1400000032.0,1,297.99999999965837,-94.39999999793304,-0.2334965720426645,3920096.0754987895,343263.1048501963,5002823.844116917,75000.64000000211,0.0,0.0,0.0
0,33,1400000033.0,1,299.5000000014708,-93.59999999957887,-0.6309827784857909,3920095.0729697463,343264.5228700283,5002824.023422691,75000.65999999914,0.0,0.0,0.0
0,34,1400000034.0,1,301.0000000005798,-92.79999999979347,-1.0221644035471122,3920094.07430742,343265.94122815144,5002824.207696544,75000.68000000322,0.0,0.0,0.0
0,35,1400000035.0,1,302.5000000001905,-92.00000000474967,-1.4031329133609134,3920093.0819089916,343267.3601342952,5002824.400018439,75000.69999999453,0.0,0.0,0.0
0,36,1400000036.0,1,303.99999999960033,-91.20000000008122,-1.7700817791753245,3920092.0981090656,343268.7797927102,5002824.60338797,75000.71999999345,0.0,0.0,0.0
